,Title,Published_date,Views,Likes,Favorite,Comments,Month
115,Alright! | Loving Your Best Friend | Ft. Kritika Avasthi & Keshav Sadhna,2020-12-21,1278964,63008,0,1335,Dec
116,Alright! | When You Have a Savage Roommate | Ft. Ambrish Verma & Badri Chavan,2020-12-15,4629309,85260,0,1407,Dec
117,Alright! | Couples and Love Marriage | Ft. Anushka Kaushik & Rachit Rojha,2020-11-30,1304467,44524,0,1074,Nov
118,"Alright! | How to Impress Your Crush | Ft. Parikshit Joshi, Pratishtha Sharma & Mehek Mehra",2020-11-26,1261277,34930,0,862,Nov
119,"Alright! | Backbencher Vs Topper | Ft. Anushka Kaushik, Half Engineer & Ritik Ghanshani",2020-11-16,2629336,118894,0,2112,Nov
120,Alright! | Middle Class Diwali | Ft. Parikshit Joshi & Purnendu Bhattacharya,2020-11-13,1002412,26233,0,501,Nov
121,Alright! | Family Ki Diwali Shopping | Ft. Anushka Kaushik & Badri Chavan,2020-11-10,1154433,49536,0,1571,Nov
122,Alright! | Maa Ka YouTube Channel | Ft. Ahsaas Channa & Kulbir Badesron,2020-11-04,1764262,82859,0,1874,Nov
123,Alright! | When You Fall In Love with a Teacher | Ft. Kritika Avasthi & Gaurav Kapoor,2020-11-02,1133872,54637,0,1916,Nov
124,Alright! | Ek Din Ka Boss | Ft. Ambrish Verma & Badri Chavan,2020-10-29,1131848,53604,0,1440,Oct
125,Alright! | Marrying Your Crush Part 2 | Ft. Kritika Avasthi & Rohan Shah,2020-10-27,1766982,87091,0,1608,Oct
126,Alright! | Marrying Your Crush Part 1| Ft. Kritika Avasthi & Rohan Shah,2020-10-23,2878880,109416,0,1538,Oct
127,Alright! | Girlfriend vs Papa | Ft. Nikhil Vijay & Jahnvi Rawat,2020-10-13,712813,43394,0,843,Oct
128,Alright! | Indian Media Falling In Love | Ft. Satish Ray & Anushka Kaushik,2020-10-07,1306414,93070,0,2680,Oct
129,Alright! | When You Have Rich Girlfriend | Ft. Anushka Kaushik & Ambrish Verma,2020-09-30,4257517,202977,0,4479,Sep
130,Alright! | Gaming with पिता जी | Ft.  Ritvik Sahore ​& Purnendu Bhattacharya,2020-09-28,1107643,25930,0,583,Sep
131,Alright! | When Your Girlfriend Loves Cricket | Ft. Anushka Kaushik &  Parikshit Joshi,2020-09-25,2346249,66275,0,1065,Sep
