,Title,Published_date,Views,Likes,Favorite,Comments,Month
133,TYPES OF PEOPLE IN A PARK | Hasley India,2018-04-29,1070143,40615,0,793,Apr
134,Every Veg Vs Non-Veg Conversation | Hasley India,2018-04-21,988045,34958,0,1773,Apr
135,Types Of Phone Users You'll Meet | Hasley India,2018-04-13,1311448,45834,0,1252,Apr
136,Types Of Landlords You'll Meet Feat. Sadak chhap | Hasley India,2018-04-04,2176140,69379,0,2119,Apr
137,A Day In A Life Of A Smoker | Hasley India,2018-03-26,2316562,78979,0,1875,Mar
138,WHAT IF WE TOOK LYRICS TOO SERIOUSLY - Part 2 | Hasley India,2018-03-15,745133,33632,0,1707,Mar
139,THE PERFECT DATE | Hasley India,2018-03-06,1120753,47455,0,1676,Mar
140,EVERY MUFT-KHOR FRIEND | Hasley India,2018-02-17,718105,24425,0,459,Feb
141,TYPES OF PEOPLE DURING VALENTINE'S WEEK | Hasley India,2018-02-09,1145916,35720,0,1121,Feb
142,SINGLE VS COMMITTED  | Hasley India,2018-01-27,1217284,48312,0,1221,Jan
143,TYPES OF SECURITY GUARDS  Ft. MILLIND GABA | Hasley India,2018-01-16,2914512,90371,0,2022,Jan
144,WHEN YOU BUY A CAR | Hasley India,2018-01-09,1774170,56805,0,1025,Jan
145,EVERY NEW YEAR PLAN | Hasley India,2017-12-31,1100591,47219,0,709,Dec
146,TYPES OF PEOPLE AFTER BREAK-UP | Hasley India,2017-12-28,1400052,29535,0,805,Dec
147,TYPES OF PEOPLE AT A RESTAURANT | Hasley India,2017-12-15,2214380,70469,0,3051,Dec
148,THINGS PEOPLE DO IN WASHROOM | Hasley India,2017-11-27,1599408,38121,0,1057,Nov
149,Hasley India Live Stream,2017-11-18,0,1,0,0,Nov
150,THINGS SIBLINGS DO TO ANNOY EACH OTHER Ft. Nitibha Kaul | Hasley India,2017-11-15,1632464,52935,0,1241,Nov
151,North Indian VS South Indian | Hasley India,2017-11-04,1601728,42780,0,5151,Nov
152,WHAT IF PHONE BRANDS WERE PEOPLE | Hasley India,2017-10-21,1472969,47172,0,2472,Oct
153,Bearded Men Vs Clean Shaven | Hasley India,2017-10-12,2965011,70103,0,2232,Oct
154,EVERY DELHI-MUMBAI CONVERSATION | Hasley India,2017-10-02,2191273,54386,0,6808,Oct
155,"iPhone Leaked Commerical Ft. Harsh Beniwal, Rishhsome | Hasley India",2017-09-12,1189150,55854,0,1399,Sep
156,ADHOORA HUA POORA | Hasley India,2017-08-29,1717788,63757,0,2132,Aug
157,TYPES OF CAR DRIVERS WE ALL KNOW | Hasley India,2017-08-16,1434341,56725,0,1044,Aug
158,WHEN YOU VISIT A LUXURY HOTEL | Hasley India,2017-07-28,1966532,53803,0,780,Jul
159,WHAT IF WE TOOK LYRICS TOO SERIOUSLY | Hasley India,2017-06-17,3105480,115277,0,2179,Jun
